"","k","CRAB","run"
"1",2,0.00677450524699602,1
"2",3,0.00189072364961734,1
"3",4,0.130922936608924,1
"4",5,0.0714125181742822,1
"5",6,0.0846962432827872,1
"6",7,0.0788616703098464,1
"7",8,0.0773019355141563,1
"8",9,0.0771192094903108,1
"9",10,0.0638355704465391,1
"10",11,0.0636593792337492,1
"11",12,0.0629709960836107,1
"12",13,0.0612729470525472,1
"13",14,0.056555945597753,1
"14",15,0.0517157943693998,1
"15",2,0.00693662717991736,2
"16",3,0.00187996465662877,2
"17",4,0.129836142707782,2
"18",5,0.0708244075077132,2
"19",6,0.08315423436073,2
"20",7,0.0768780774624021,2
"21",8,0.0767994028206312,2
"22",9,0.0773884951340947,2
"23",10,0.0644280861312338,2
"24",11,0.063559694695114,2
"25",12,0.0629936580085148,2
"26",13,0.0612848266631672,2
"27",14,0.0561936867811432,2
"28",15,0.0515026794384881,2
"29",2,0.00657854496673629,3
"30",3,0.00187867243243982,3
"31",4,0.130368635850075,3
"32",5,0.0705510020096546,3
"33",6,0.0834895333555021,3
"34",7,0.0770015161296774,3
"35",8,0.0764270196743763,3
"36",9,0.0778208628456677,3
"37",10,0.0640051252497169,3
"38",11,0.0632239408624156,3
"39",12,0.0632772961268611,3
"40",13,0.0613777250271124,3
"41",14,0.0563631061018711,3
"42",15,0.0517338920334037,3
"43",2,0.00657207021432283,4
"44",3,0.00177126872033406,4
"45",4,0.129778498616423,4
"46",5,0.0727948839896794,4
"47",6,0.0833207789959654,4
"48",7,0.0776116080450413,4
"49",8,0.0774053918548763,4
"50",9,0.0779800348667789,4
"51",10,0.0645134470794915,4
"52",11,0.0634905702936206,4
"53",12,0.0629422719898019,4
"54",13,0.0609986792607449,4
"55",14,0.056316478787301,4
"56",15,0.0517451151794009,4
"57",2,0.0068491019385365,5
"58",3,0.00176433902282188,5
"59",4,0.129394946042031,5
"60",5,0.0741767542905811,5
"61",6,0.0835158591213016,5
"62",7,0.0774352720152397,5
"63",8,0.0767910142428345,5
"64",9,0.0777112799982585,5
"65",10,0.0641942316609917,5
"66",11,0.0629086894462751,5
"67",12,0.0622807087363706,5
"68",13,0.0608293891152218,5
"69",14,0.056509717164133,5
"70",15,0.0518550658445882,5
"71",2,0.00686053547675309,6
"72",3,0.00178141241374139,6
"73",4,0.129230856391348,6
"74",5,0.0741946988480578,6
"75",6,0.0831487864282031,6
"76",7,0.0780649928263406,6
"77",8,0.0768769525469431,6
"78",9,0.0778455877531023,6
"79",10,0.0644684574035783,6
"80",11,0.0628906182682551,6
"81",12,0.0622507553929064,6
"82",13,0.0605275389988268,6
"83",14,0.0561915740030375,6
"84",15,0.0516755208769555,6
"85",2,0.006852258027079,7
"86",3,0.0012884667651515,7
"87",4,0.12978731784004,7
"88",5,0.0743791810309119,7
"89",6,0.0830255833013276,7
"90",7,0.0779500582674501,7
"91",8,0.0768443463593083,7
"92",9,0.0780739337420641,7
"93",10,0.0643442909945427,7
"94",11,0.0628174327195708,7
"95",12,0.062029426928613,7
"96",13,0.0603657316655244,7
"97",14,0.0560584863063556,7
"98",15,0.0519630230618836,7
"99",2,0.00717039686444088,8
"100",3,0.00130791154917078,8
"101",4,0.129538954478055,8
"102",5,0.0723275997685863,8
"103",6,0.0833354251902973,8
"104",7,0.0776523684796638,8
"105",8,0.0763480773921736,8
"106",9,0.0778882435242392,8
"107",10,0.0642138009874808,8
"108",11,0.0625516985952938,8
"109",12,0.0618704494855883,8
"110",13,0.0605292588312394,8
"111",14,0.0562482344078531,8
"112",15,0.0522906099465906,8
"113",2,0.00701759619499198,9
"114",3,0.00131072230986695,9
"115",4,0.130107469307938,9
"116",5,0.0702125289645238,9
"117",6,0.0833138527669209,9
"118",7,0.0776958180394026,9
"119",8,0.0772796282010197,9
"120",9,0.078271859430781,9
"121",10,0.0638876477368986,9
"122",11,0.0625942230251103,9
"123",12,0.0615694464918426,9
"124",13,0.0603133747799139,9
"125",14,0.0559964638390561,9
"126",15,0.0519812844301842,9
"127",2,0.00723606048361943,10
"128",3,0.00131042266090065,10
"129",4,0.130529706393371,10
"130",5,0.0678757342881369,10
"131",6,0.0831258261379963,10
"132",7,0.0789693543340084,10
"133",8,0.0783660225660644,10
"134",9,0.0783393614527853,10
"135",10,0.0648624687082681,10
"136",11,0.0630432223670228,10
"137",12,0.0616131898152454,10
"138",13,0.0602929530971609,10
"139",14,0.0561417573226545,10
"140",15,0.0516968727406802,10
"141",2,0.00731916136524459,11
"142",3,0.00130889899619992,11
"143",4,0.129311327420567,11
"144",5,0.0682278645699808,11
"145",6,0.0830814174415183,11
"146",7,0.0807558646315924,11
"147",8,0.0786072599327052,11
"148",9,0.0782874041506741,11
"149",10,0.0650290363938432,11
"150",11,0.0634013797217131,11
"151",12,0.0617043165643432,11
"152",13,0.0606074258345155,11
"153",14,0.0564685038178136,11
"154",15,0.0519554189385269,11
"155",2,0.00727305362257236,12
"156",3,0.00120499581838215,12
"157",4,0.129436267017772,12
"158",5,0.0682615274748299,12
"159",6,0.0835833315298289,12
"160",7,0.0807388903334567,12
"161",8,0.0788373163260539,12
"162",9,0.0780577149130293,12
"163",10,0.0655180964812456,12
"164",11,0.0634814638260768,12
"165",12,0.0620080742289253,12
"166",13,0.0605459692274374,12
"167",14,0.056476662983317,12
"168",15,0.0520328114262252,12
"169",2,0.0071083788133233,13
"170",3,0.000768199124212656,13
"171",4,0.128604350180646,13
"172",5,0.0649022534250327,13
"173",6,0.0843839820136972,13
