"","p","n","n_resamples","prop_resample","runs","k","res"
"1",2,100,100,0.2,100,2,0.254396451805582
"2",2,100,100,0.2,100,2,0.245251736557477
"3",2,100,100,0.2,100,2,0.250514404717955
"4",2,100,100,0.2,100,2,0.22353945862328
"5",2,100,100,0.2,100,2,0.223875459585368
"6",2,100,100,0.2,100,2,0.214561196165933
"7",2,100,100,0.2,100,2,0.242905804914786
"8",2,100,100,0.2,100,2,0.243431274460922
"9",2,100,100,0.2,100,2,0.241128001374142
"10",2,100,100,0.2,100,2,0.185853093102518
"11",2,100,100,0.2,100,2,0.22454643241109
"12",2,100,100,0.2,100,2,0.227101647563463
"13",2,100,100,0.2,100,2,0.238919924772733
"14",2,100,100,0.2,100,2,0.267843668821079
"15",2,100,100,0.2,100,2,0.255059201653418
"16",2,100,100,0.2,100,2,0.249795451777175
"17",2,100,100,0.2,100,2,0.229591689487188
"18",2,100,100,0.2,100,2,0.241657512180933
"19",2,100,100,0.2,100,2,0.205921633505473
"20",2,100,100,0.2,100,2,0.245657715649679
"21",2,100,100,0.2,100,2,0.228192600137178
"22",2,100,100,0.2,100,2,0.243928099563921
"23",2,100,100,0.2,100,2,0.248996349195225
"24",2,100,100,0.2,100,2,0.259179885700892
"25",2,100,100,0.2,100,2,0.23399673678143
"26",2,100,100,0.2,100,2,0.222660936062141
"27",2,100,100,0.2,100,2,0.192893730416996
"28",2,100,100,0.2,100,2,0.209904043171992
"29",2,100,100,0.2,100,2,0.232399646745171
"30",2,100,100,0.2,100,2,0.237931947968562
"31",2,100,100,0.2,100,2,0.254561238864301
"32",2,100,100,0.2,100,2,0.250851288261423
"33",2,100,100,0.2,100,2,0.245237215724431
"34",2,100,100,0.2,100,2,0.272067928309209
"35",2,100,100,0.2,100,2,0.201240416655352
"36",2,100,100,0.2,100,2,0.255237462823898
"37",2,100,100,0.2,100,2,0.238911257950181
"38",2,100,100,0.2,100,2,0.239022422368027
"39",2,100,100,0.2,100,2,0.212126621469753
"40",2,100,100,0.2,100,2,0.235561496213346
"41",2,100,100,0.2,100,2,0.225385971767431
"42",2,100,100,0.2,100,2,0.2491315706114
"43",2,100,100,0.2,100,2,0.23386971104454
"44",2,100,100,0.2,100,2,0.256336489845834
"45",2,100,100,0.2,100,2,0.245094652767025
"46",2,100,100,0.2,100,2,0.231412049782498
"47",2,100,100,0.2,100,2,0.269493475095987
"48",2,100,100,0.2,100,2,0.244055313057977
"49",2,100,100,0.2,100,2,0.214940635828638
"50",2,100,100,0.2,100,2,0.254921968461776
"51",2,100,100,0.2,100,2,0.244016402673371
"52",2,100,100,0.2,100,2,0.231455861929785
"53",2,100,100,0.2,100,2,0.249086912822049
"54",2,100,100,0.2,100,2,0.192846001255209
"55",2,100,100,0.2,100,2,0.246481815645263
"56",2,100,100,0.2,100,2,0.233866461414763
"57",2,100,100,0.2,100,2,0.255057069211089
"58",2,100,100,0.2,100,2,0.244025851811764
"59",2,100,100,0.2,100,2,0.265407737562712
"60",2,100,100,0.2,100,2,0.211787482259163
"61",2,100,100,0.2,100,2,0.203914616612374
"62",2,100,100,0.2,100,2,0.263319672997453
"63",2,100,100,0.2,100,2,0.26000516291846
"64",2,100,100,0.2,100,2,0.272962736281409
"65",2,100,100,0.2,100,2,0.261233641497224
"66",2,100,100,0.2,100,2,0.261533485613312
"67",2,100,100,0.2,100,2,0.232441941181872
"68",2,100,100,0.2,100,2,0.251330218384872
"69",2,100,100,0.2,100,2,0.246249750988083
"70",2,100,100,0.2,100,2,0.234073250923947
"71",2,100,100,0.2,100,2,0.267547891256616
"72",2,100,100,0.2,100,2,0.186947138477299
"73",2,100,100,0.2,100,2,0.263230086708709
"74",2,100,100,0.2,100,2,0.201864165291597
"75",2,100,100,0.2,100,2,0.228066057400248
"76",2,100,100,0.2,100,2,0.254397454932082
"77",2,100,100,0.2,100,2,0.236016633460711
"78",2,100,100,0.2,100,2,0.255184267114487
"79",2,100,100,0.2,100,2,0.246497430853548
"80",2,100,100,0.2,100,2,0.242920222706399
"81",2,100,100,0.2,100,2,0.244181174413033
"82",2,100,100,0.2,100,2,0.224834282523762
"83",2,100,100,0.2,100,2,0.221098783008837
"84",2,100,100,0.2,100,2,0.248951696277745
"85",2,100,100,0.2,100,2,0.165833572294937
"86",2,100,100,0.2,100,2,0.260764786717277
"87",2,100,100,0.2,100,2,0.240437069606793
"88",2,100,100,0.2,100,2,0.253682091508672
"89",2,100,100,0.2,100,2,0.279020262217414
"90",2,100,100,0.2,100,2,0.242691448402007
"91",2,100,100,0.2,100,2,0.250962309519792
"92",2,100,100,0.2,100,2,0.250444346037726
"93",2,100,100,0.2,100,2,0.244500760562972
"94",2,100,100,0.2,100,2,0.250940839283307
"95",2,100,100,0.2,100,2,0.219123102528063
"96",2,100,100,0.2,100,2,0.237248955528361
"97",2,100,100,0.2,100,2,0.249688116457451
"98",2,100,100,0.2,100,2,0.243291118588828
"99",2,100,100,0.2,100,2,0.251980023452861
"100",2,100,100,0.2,100,2,0.261393930070731
"101",2,100,100,0.2,100,3,0.19663327509197
"102",2,100,100,0.2,100,3,0.170352877105905
"103",2,100,100,0.2,100,3,0.175776288294169
"104",2,100,100,0.2,100,3,0.173275387615385
"105",2,100,100,0.2,100,3,0.177125686564564
"106",2,100,100,0.2,100,3,0.180667278692562
"107",2,100,100,0.2,100,3,0.185940124457338
"108",2,100,100,0.2,100,3,0.164150458890487
"109",2,100,100,0.2,100,3,0.162238521090979
"110",2,100,100,0.2,100,3,0.182769162878637
"111",2,100,100,0.2,100,3,0.199563406120629
"112",2,100,100,0.2,100,3,0.185660954612989
"113",2,100,100,0.2,100,3,0.17445786812288
"114",2,100,100,0.2,100,3,0.191889526337284
"115",2,100,100,0.2,100,3,0.1767347946708
"116",2,100,100,0.2,100,3,0.182156129390146
"117",2,100,100,0.2,100,3,0.183548058874945
"118",2,100,100,0.2,100,3,0.198301531601637
"119",2,100,100,0.2,100,3,0.189794674033558
"120",2,100,100,0.2,100,3,0.180099305003895
"121",2,100,100,0.2,100,3,0.180544044655011
"122",2,100,100,0.2,100,3,0.186471263744115
"123",2,100,100,0.2,100,3,0.178744186511721
"124",2,100,100,0.2,100,3,0.188999587940997
"125",2,100,100,0.2,100,3,0.18615541362048
"126",2,100,100,0.2,100,3,0.158948266052043
"127",2,100,100,0.2,100,3,0.165341983277817
"128",2,100,100,0.2,100,3,0.164817191705512
"129",2,100,100,0.2,100,3,0.174568868420353
"130",2,100,100,0.2,100,3,0.186555558832077
"131",2,100,100,0.2,100,3,0.198901528460135
"132",2,100,100,0.2,100,3,0.192362065594021
"133",2,100,100,0.2,100,3,0.166171561120521
"134",2,100,100,0.2,100,3,0.179720779080607
