"","Cluster_Num","One","Neg_One"
"1","2",565,250
"2","3",365,1473
"3","4",109,1939
"4","5",123,2408
"5","6",113,3082
"6","7",97,3169
"7","8",80,3190
"8","9",76,3438
"9","10",75,3544
"10","11",82,3738
"11","12",61,3806
"12","13",55,2997
"13","14",63,3057
"14","15",47,3520
"15","16",35,3095
"16","2",436,331
"17","3",256,1520
"18","4",215,2311
"19","5",114,2402
"20","6",139,2886
"21","7",102,3255
"22","8",82,3183
"23","9",82,3351
"24","10",67,3493
"25","11",58,3734
"26","12",73,3763
"27","13",48,3141
"28","14",41,3931
"29","15",58,331
"30","16",52,332
"31","2",404,313
"32","3",186,934
"33","4",175,2140
"34","5",220,2654
"35","6",185,2157
"36","7",115,1037
"37","8",134,1165
"38","9",65,1161
"39","10",88,1144
"40","11",56,1162
"41","12",85,1174
"42","13",149,1180
"43","14",162,1230
"44","15",163,1249
"45","16",1632,1268
"46","2",510,521
"47","3",108,1137
"48","4",104,1995
"49","5",72,2399
"50","6",60,2647
"51","7",30,2791
"52","8",26,2995
"53","9",28,3182
"54","10",23,3271
"55","11",23,3370
"56","12",31,3559
"57","13",30,3680
"58","14",24,3793
"59","15",26,3172
"60","16",32,3201
"61","2",352,175
"62","3",182,1222
"63","4",217,2235
"64","5",130,2559
"65","6",106,2925
"66","7",106,3110
"67","8",127,3454
"68","9",100,3586
"69","10",73,3651
"70","11",71,3760
"71","12",56,3739
"72","13",51,3846
"73","14",44,3867
"74","15",39,303
"75","16",44,298
"76","2",225,140
"77","3",92,992
"78","4",99,1778
"79","5",116,2352
"80","6",61,2606
"81","7",44,2697
"82","8",44,3004
"83","9",57,3177
"84","10",46,3352
"85","11",36,3312
"86","12",39,3432
"87","13",37,2595
"88","14",44,3639
"89","15",42,2761
"90","16",31,2774
"91","2",251,198
"92","3",177,1097
"93","4",146,1800
"94","5",193,2535
"95","6",142,3038
"96","7",129,3306
"97","8",72,2382
"98","9",60,3588
"99","10",37,2525
"100","11",52,2600
"101","12",27,2679
"102","13",31,155
"103","14",37,292
"104","15",37,159
"105","16",35,151
"106","2",704,697
"107","3",187,1255
"108","4",159,1875
"109","5",150,2347
"110","6",152,2966
"111","7",139,3247
"112","8",83,3447
"113","9",90,3586
"114","10",76,3649
"115","11",57,3756
"116","12",59,3826
"117","13",47,3894
"118","14",44,2249
"119","15",55,2072
"120","16",46,2097
"121","2",1390,1405
"122","3",280,1709
"123","4",111,2005
"124","5",77,2362
"125","6",104,2811
"126","7",74,3091
"127","8",48,3167
"128","9",67,2285
"129","10",41,3364
"130","11",55,2507
"131","12",27,2533
"132","13",38,1338
"133","14",44,1388
"134","15",42,1421
"135","16",34,1438
"136","2",400,325
"137","3",148,1099
"138","4",214,2404
"139","5",140,2680
"140","6",103,2906
"141","7",64,2913
"142","8",69,1383
"143","9",69,1466
"144","10",72,1492
"145","11",74,1562
"146","12",65,1610
"147","13",53,1641
"148","14",62,1706
"149","15",55,1670
"150","16",63,1725
"151","2",251,220
"152","3",203,1018
"153","4",125,1792
"154","5",103,2255
"155","6",107,2612
"156","7",212,3407
"157","8",162,3560
"158","9",100,3561
"159","10",82,3743
"160","11",74,953
"161","12",89,967
"162","13",67,975
"163","14",102,984
"164","15",104,990
"165","16",113,1013
"166","2",1448,1461
"167","3",149,1282
"168","4",258,2255
"169","5",99,2550
"170","6",74,2723
"171","7",57,2919
"172","8",42,3164
"173","9",39,3287
"174","10",35,2742
"175","11",47,2927
"176","12",31,2940
"177","13",39,2928
"178","14",37,2974
"179","15",47,1171
"180","16",54,1214
"181","2",714,544
"182","3",251,1282
"183","4",190,1733
"184","5",176,2409
"185","6",102,2584
"186","7",77,3001
"187","8",66,3258
"188","9",59,3333
"189","10",47,3349
"190","11",37,1757
"191","12",28,1829
"192","13",29,1860
"193","14",34,1877
"194","15",29,1893
"195","16",29,1935
"196","2",691,718
"197","3",288,1571
"198","4",293,2571
"199","5",139,2897
"200","6",87,2986
"201","7",51,3053
"202","8",66,3205
"203","9",79,3455
"204","10",52,3551
"205","11",49,3625
"206","12",51,69
"207","13",50,73
"208","14",37,3411
"209","15",45,3476
"210","16",49,65
"211","2",553,529
"212","3",224,1485
"213","4",123,1872
"214","5",78,2250
"215","6",75,2564
"216","7",75,2869
"217","8",79,3121
"218","9",61,3252
"219","10",72,3496
"220","11",77,3697
"221","12",82,3853
"222","13",82,3916
"223","14",67,4008
"224","15",66,4022
"225","16",51,4106
"226","2",870,766
"227","3",176,875
"228","4",267,1765
"229","5",278,3003
"230","6",97,3133
"231","7",89,3352
"232","8",59,3329
"233","9",32,3356
"234","10",48,3536
"235","11",42,3596
"236","12",45,3721
"237","13",47,3818
"238","14",42,3894
"239","15",35,509
"240","16",40,497
"241","2",1304,1123
"242","3",397,1581
"243","4",205,2177
"244","5",129,2414
"245","6",74,2696
"246","7",61,2996
"247","8",43,3109
"248","9",68,3234
"249","10",76,3515
"250","11",46,2501
"251","12",48,1912
"252","13",61,2025
"253","14",50,2075
"254","15",71,2190
"255","16",67,2179
"256","2",1559,1517
"257","3",254,1593
"258","4",156,1860
"259","5",160,2408
"260","6",62,2638
"261","7",77,3095
"262","8",90,3317
"263","9",70,3385
"264","10",68,3444
"265","11",42,3510
"266","12",37,3588
"267","13",49,1249
"268","14",49,1284
"269","15",44,1281
"270","16",42,1322
"271","2",571,442
"272","3",496,1762
"273","4",246,2280
"274","5",252,2925
"275","6",113,2925
"276","7",103,3182
"277","8",58,3300
"278","9",62,3360
"279","10",55,3420
"280","11",36,3542
"281","12",44,3682
"282","13",40,3753
"283","14",39,3794
"284","15",39,2725
"285","16",38,3343
"286","2",613,469
"287","3",681,2170
"288","4",208,1882
"289","5",76,2328
"290","6",64,2543
"291","7",58,2726
"292","8",45,2983
"293","9",64,3222
"294","10",50,3466
"295","11",49,3543
"296","12",39,1629
"297","13",47,1706
"298","14",50,333
"299","15",55,343
"300","16",54,1848
"301","2",1206,1240
"302","3",282,1650
"303","4",136,1916
"304","5",114,2368
"305","6",120,2822
"306","7",87,2972
"307","8",101,3214
"308","9",63,3331
"309","10",76,3462
"310","11",65,3420
"311","12",101,1452
"312","13",68,1444
"313","14",80,1527
"314","15",86,1558
"315","16",107,1583
"316","2",648,645
"317","3",153,1362
"318","4",136,2128
"319","5",107,2528
"320","6",110,2738
"321","7",47,2923
"322","8",47,3185
"323","9",93,3428
"324","10",55,3449
"325","11",28,1657
"326","12",40,1774
"327","13",45,1819
"328","14",32,1819
"329","15",33,1877
"330","16",35,1892
"331","2",762,721
"332","3",241,1407
"333","4",132,1810
"334","5",201,2599
"335","6",176,3128
"336","7",79,3007
"337","8",63,1691
"338","9",61,1730
"339","10",75,1868
"340","11",49,1880
"341","12",75,1920
"342","13",95,1943
"343","14",78,1974
"344","15",81,2016
"345","16",92,2060
"346","2",1118,1039
"347","3",377,1880
"348","4",271,2276
"349","5",159,2779
"350","6",109,2944
"351","7",66,3008
"352","8",64,3143
"353","9",83,3390
"354","10",67,3506
"355","11",48,1463
"356","12",38,1516
"357","13",49,1514
"358","14",51,1564
"359","15",43,1620
"360","16",50,1650
"361","2",483,459
"362","3",148,1149
"363","4",144,1813
"364","5",129,2440
"365","6",137,3044
"366","7",108,3171
"367","8",124,3339
"368","9",81,3443
"369","10",61,3692
"370","11",66,3771
"371","12",75,2911
"372","13",88,2957
"373","14",67,2972
"374","15",86,3042
"375","16",74,3057
"376","2",1792,1499
"377","3",446,1598
"378","4",229,2265
"379","5",146,2574
"380","6",97,2763
"381","7",85,2943
"382","8",73,3097
"383","9",61,3318
"384","10",58,3387
"385","11",64,3605
"386","12",55,3732
"387","13",45,1315
"388","14",38,246
"389","15",47,254
"390","16",45,242
"391","2",935,918
"392","3",207,1377
"393","4",262,2244
"394","5",92,2198
"395","6",45,2415
"396","7",79,2713
"397","8",142,3195
"398","9",122,3428
"399","10",70,3489
"400","11",83,3790
"401","12",77,3556
"402","13",49,2737
"403","14",41,2813
"404","15",37,2822
"405","16",45,2859
"406","2",230,195
"407","3",216,1494
"408","4",130,1868
"409","5",93,2251
"410","6",80,2719
"411","7",100,3039
"412","8",115,3386
"413","9",81,3445
"414","10",68,3672
"415","11",49,3648
"416","12",47,3814
"417","13",31,3894
"418","14",39,4001
"419","15",43,3236
"420","16",40,2687
"421","2",489,356
"422","3",132,1344
"423","4",154,2295
"424","5",190,2685
"425","6",91,2996
"426","7",126,3228
"427","8",87,3466
"428","9",74,3560
"429","10",58,525
"430","11",40,558
"431","12",33,554
"432","13",36,577
"433","14",40,571
"434","15",29,582
"435","16",38,470
"436","2",1542,1514
"437","3",514,1686
"438","4",207,2470
"439","5",108,2643
"440","6",83,2844
"441","7",58,3046
"442","8",83,3136
"443","9",43,3182
"444","10",32,2547
"445","11",34,2703
"446","12",39,2794
"447","13",44,2914
"448","14",34,3805
"449","15",29,999
"450","16",39,79
