"","p","n","n_resamples","prop_resample","runs","k","res"
"1",2,100,20,0.5,100,2,1044.32473024158
"2",2,100,20,0.5,100,2,1250.32123193598
"3",2,100,20,0.5,100,2,1209.1881740722
"4",2,100,20,0.5,100,2,1180.12447786652
"5",2,100,20,0.5,100,2,914.66464028556
"6",2,100,20,0.5,100,2,704.079606271955
"7",2,100,20,0.5,100,2,1326.41986103776
"8",2,100,20,0.5,100,2,1370.86260043228
"9",2,100,20,0.5,100,2,1305.06759384194
"10",2,100,20,0.5,100,2,754.029621649394
"11",2,100,20,0.5,100,2,849.836572366627
"12",2,100,20,0.5,100,2,1255.54794059956
"13",2,100,20,0.5,100,2,1122.39938113354
"14",2,100,20,0.5,100,2,1232.0316142043
"15",2,100,20,0.5,100,2,1419.37663403255
"16",2,100,20,0.5,100,2,913.595785837139
"17",2,100,20,0.5,100,2,1049.30958586477
"18",2,100,20,0.5,100,2,1290.34813568777
"19",2,100,20,0.5,100,2,606.615977576216
"20",2,100,20,0.5,100,2,1282.42771370876
"21",2,100,20,0.5,100,2,1174.44409419385
"22",2,100,20,0.5,100,2,1246.46487453384
"23",2,100,20,0.5,100,2,1247.50467192216
"24",2,100,20,0.5,100,2,868.501047612801
"25",2,100,20,0.5,100,2,1315.69575914533
"26",2,100,20,0.5,100,2,1114.99295138043
"27",2,100,20,0.5,100,2,912.502057573259
"28",2,100,20,0.5,100,2,941.154412518298
"29",2,100,20,0.5,100,2,824.523293474942
"30",2,100,20,0.5,100,2,1218.46832820699
"31",2,100,20,0.5,100,2,1183.44788341569
"32",2,100,20,0.5,100,2,1023.81508390439
"33",2,100,20,0.5,100,2,1204.01656044573
"34",2,100,20,0.5,100,2,1492.10280917295
"35",2,100,20,0.5,100,2,867.418176721867
"36",2,100,20,0.5,100,2,1148.22192497538
"37",2,100,20,0.5,100,2,904.772911875251
"38",2,100,20,0.5,100,2,1343.57418947137
"39",2,100,20,0.5,100,2,532.415999986465
"40",2,100,20,0.5,100,2,1407.01494884945
"41",2,100,20,0.5,100,2,972.160297376986
"42",2,100,20,0.5,100,2,1337.6304076634
"43",2,100,20,0.5,100,2,914.839502820412
"44",2,100,20,0.5,100,2,1274.2334656434
"45",2,100,20,0.5,100,2,1377.17254893295
"46",2,100,20,0.5,100,2,1294.63576220357
"47",2,100,20,0.5,100,2,1125.41022056267
"48",2,100,20,0.5,100,2,1114.47780138582
"49",2,100,20,0.5,100,2,533.880186804137
"50",2,100,20,0.5,100,2,1141.78511839171
"51",2,100,20,0.5,100,2,1319.92924246068
"52",2,100,20,0.5,100,2,1054.89371147621
"53",2,100,20,0.5,100,2,1239.99790059893
"54",2,100,20,0.5,100,2,520.81815864791
"55",2,100,20,0.5,100,2,1390.55027432124
"56",2,100,20,0.5,100,2,1143.45840789361
"57",2,100,20,0.5,100,2,1356.43927779652
"58",2,100,20,0.5,100,2,1218.31975399433
"59",2,100,20,0.5,100,2,1022.35502234778
"60",2,100,20,0.5,100,2,509.155651297556
"61",2,100,20,0.5,100,2,636.261885058584
"62",2,100,20,0.5,100,2,1040.94908563578
"63",2,100,20,0.5,100,2,1359.8565134765
"64",2,100,20,0.5,100,2,1120.59876310518
"65",2,100,20,0.5,100,2,1347.18101750012
"66",2,100,20,0.5,100,2,761.633826530612
"67",2,100,20,0.5,100,2,881.21388569263
"68",2,100,20,0.5,100,2,1002.93462081129
"69",2,100,20,0.5,100,2,1415.75565418148
"70",2,100,20,0.5,100,2,1136.67350924202
"71",2,100,20,0.5,100,2,1365.49243890149
"72",2,100,20,0.5,100,2,1095.54813490714
"73",2,100,20,0.5,100,2,1045.74213694404
"74",2,100,20,0.5,100,2,781.404013922986
"75",2,100,20,0.5,100,2,582.754036701573
"76",2,100,20,0.5,100,2,1302.38481124896
"77",2,100,20,0.5,100,2,970.384847683674
"78",2,100,20,0.5,100,2,1307.20071651373
"79",2,100,20,0.5,100,2,1238.10583968941
"80",2,100,20,0.5,100,2,1436.02407814488
"81",2,100,20,0.5,100,2,800.822512787499
"82",2,100,20,0.5,100,2,1207.41726432658
"83",2,100,20,0.5,100,2,1073.05984258166
"84",2,100,20,0.5,100,2,999.086159405677
"85",2,100,20,0.5,100,2,417.860378839935
"86",2,100,20,0.5,100,2,1035.23983855771
"87",2,100,20,0.5,100,2,1192.79691068413
"88",2,100,20,0.5,100,2,1082.13732125418
"89",2,100,20,0.5,100,2,1367.67185182582
"90",2,100,20,0.5,100,2,1123.95331875236
"91",2,100,20,0.5,100,2,906.062235163426
"92",2,100,20,0.5,100,2,1319.89981413288
"93",2,100,20,0.5,100,2,1166.75837656611
"94",2,100,20,0.5,100,2,1090.67516962034
"95",2,100,20,0.5,100,2,957.274141559899
"96",2,100,20,0.5,100,2,655.6130831573
"97",2,100,20,0.5,100,2,1088.9129288973
"98",2,100,20,0.5,100,2,1348.08452316923
"99",2,100,20,0.5,100,2,1246.60260926623
"100",2,100,20,0.5,100,2,1383.74982661078
"101",2,100,20,0.5,100,3,857.196808772159
"102",2,100,20,0.5,100,3,831.158259022924
"103",2,100,20,0.5,100,3,705.347865477076
"104",2,100,20,0.5,100,3,692.844334097409
"105",2,100,20,0.5,100,3,652.306669300717
"106",2,100,20,0.5,100,3,869.518266414922
"107",2,100,20,0.5,100,3,683.247425143492
"108",2,100,20,0.5,100,3,430.716822877299
"109",2,100,20,0.5,100,3,858.523874052835
"110",2,100,20,0.5,100,3,466.720674451441
"111",2,100,20,0.5,100,3,851.97021549238
"112",2,100,20,0.5,100,3,868.72150975848
"113",2,100,20,0.5,100,3,719.544130326143
"114",2,100,20,0.5,100,3,758.722235387268
"115",2,100,20,0.5,100,3,921.198454525673
"116",2,100,20,0.5,100,3,929.58114099665
"117",2,100,20,0.5,100,3,951.31785633811
"118",2,100,20,0.5,100,3,1088.01487760707
"119",2,100,20,0.5,100,3,992.853832199547
"120",2,100,20,0.5,100,3,900.304345354606
"121",2,100,20,0.5,100,3,760.097803196883
"122",2,100,20,0.5,100,3,851.567999615824
"123",2,100,20,0.5,100,3,919.352399626896
"124",2,100,20,0.5,100,3,925.968918972242
"125",2,100,20,0.5,100,3,879.671989041102
"126",2,100,20,0.5,100,3,731.205978055134
"127",2,100,20,0.5,100,3,848.898805833016
"128",2,100,20,0.5,100,3,665.326439279416
"129",2,100,20,0.5,100,3,975.206416560586
"130",2,100,20,0.5,100,3,800.324248317512
"131",2,100,20,0.5,100,3,1113.50731784449
"132",2,100,20,0.5,100,3,986.239307734113
"133",2,100,20,0.5,100,3,591.247286142189
"134",2,100,20,0.5,100,3,750.599443044129
"135",2,100,20,0.5,100,3,583.151302667991
"136",2,100,20,0.5,100,3,819.573011229591
"137",2,100,20,0.5,100,3,770.836045387901
"138",2,100,20,0.5,100,3,826.159173347404
"139",2,100,20,0.5,100,3,742.527169650535
"140",2,100,20,0.5,100,3,755.276150371995
"141",2,100,20,0.5,100,3,780.266189471503
"142",2,100,20,0.5,100,3,660.456801717757
"143",2,100,20,0.5,100,3,936.676170632318
"144",2,100,20,0.5,100,3,1057.71069813535
"145",2,100,20,0.5,100,3,821.962339931994
"146",2,100,20,0.5,100,3,957.219410737971
"147",2,100,20,0.5,100,3,926.855472161316
"148",2,100,20,0.5,100,3,897.406047513124
"149",2,100,20,0.5,100,3,948.672482253997
"150",2,100,20,0.5,100,3,904.994297531073
"151",2,100,20,0.5,100,3,747.80376235557
"152",2,100,20,0.5,100,3,834.419692911275
"153",2,100,20,0.5,100,3,939.751277311353
"154",2,100,20,0.5,100,3,385.959906553684
"155",2,100,20,0.5,100,3,724.946177977466
"156",2,100,20,0.5,100,3,629.169002413331
"157",2,100,20,0.5,100,3,711.825661183053
"158",2,100,20,0.5,100,3,889.350843804541
"159",2,100,20,0.5,100,3,711.482274903227
"160",2,100,20,0.5,100,3,608.557730593921
"161",2,100,20,0.5,100,3,1057.63223668868
"162",2,100,20,0.5,100,3,615.852178749982
"163",2,100,20,0.5,100,3,1038.68281604904
