"","p","n","n_resamples","prop_resample","runs","k","res"
"1",2,100,50,0.2,100,2,817.402585034014
"2",2,100,50,0.2,100,2,783.347363945578
"3",2,100,50,0.2,100,2,836.147488662132
"4",2,100,50,0.2,100,2,766.679818594104
"5",2,100,50,0.2,100,2,643.707789115646
"6",2,100,50,0.2,100,2,641.204256109851
"7",2,100,50,0.2,100,2,764.183963214916
"8",2,100,50,0.2,100,2,809.042315444696
"9",2,100,50,0.2,100,2,774.947284580499
"10",2,100,50,0.2,100,2,596.603854875283
"11",2,100,50,0.2,100,2,808.700209750567
"12",2,100,50,0.2,100,2,794.697482993197
"13",2,100,50,0.2,100,2,847.427046485261
"14",2,100,50,0.2,100,2,848.363751574704
"15",2,100,50,0.2,100,2,808.092930839002
"16",2,100,50,0.2,100,2,779.304540816327
"17",2,100,50,0.2,100,2,668.901825396825
"18",2,100,50,0.2,100,2,771.510861678005
"19",2,100,50,0.2,100,2,737.077301587302
"20",2,100,50,0.2,100,2,797.473854875283
"21",2,100,50,0.2,100,2,779.98619047619
"22",2,100,50,0.2,100,2,845.492244897959
"23",2,100,50,0.2,100,2,824.82862244898
"24",2,100,50,0.2,100,2,850.428242630386
"25",2,100,50,0.2,100,2,748.170182035777
"26",2,100,50,0.2,100,2,758.78764739229
"27",2,100,50,0.2,100,2,664.739319727891
"28",2,100,50,0.2,100,2,706.452590702948
"29",2,100,50,0.2,100,2,674.453798185941
"30",2,100,50,0.2,100,2,725.025969387755
"31",2,100,50,0.2,100,2,820.300294784581
"32",2,100,50,0.2,100,2,743.768684807256
"33",2,100,50,0.2,100,2,799.15283446712
"34",2,100,50,0.2,100,2,868.288611111111
"35",2,100,50,0.2,100,2,715.439682539683
"36",2,100,50,0.2,100,2,795.672414965986
"37",2,100,50,0.2,100,2,750.844246661628
"38",2,100,50,0.2,100,2,807.630476190476
"39",2,100,50,0.2,100,2,687.383424036281
"40",2,100,50,0.2,100,2,760.518548752834
"41",2,100,50,0.2,100,2,735.90324829932
"42",2,100,50,0.2,100,2,730.207777777778
"43",2,100,50,0.2,100,2,811.78085600907
"44",2,100,50,0.2,100,2,822.466814688839
"45",2,100,50,0.2,100,2,678.240907029479
"46",2,100,50,0.2,100,2,750.154598135551
"47",2,100,50,0.2,100,2,853.098038548753
"48",2,100,50,0.2,100,2,807.039591836735
"49",2,100,50,0.2,100,2,685.577006802721
"50",2,100,50,0.2,100,2,749.200090702948
"51",2,100,50,0.2,100,2,775.473547493071
"52",2,100,50,0.2,100,2,731.269645376669
"53",2,100,50,0.2,100,2,788.41560090703
"54",2,100,50,0.2,100,2,614.878752834467
"55",2,100,50,0.2,100,2,793.240344545226
"56",2,100,50,0.2,100,2,747.619841269841
