"","Cluster_Num","One","Neg_One"
"1","2",558,428
"2","3",1411,3033
"3","4",558,2956
"4","5",246,3068
"5","6",170,3270
"6","7",126,3490
"7","8",126,3651
"8","9",84,3712
"9","10",84,3765
"10","11",79,3884
"11","12",77,4023
"12","13",69,4050
"13","14",58,4053
"14","15",60,4078
"15","16",43,4175
"16","2",1055,1045
"17","3",762,2422
"18","4",1001,3435
"19","5",225,3306
"20","6",180,3305
"21","7",189,3449
"22","8",159,3600
"23","9",152,3621
"24","10",129,3799
"25","11",114,3921
"26","12",108,4127
"27","13",65,4172
"28","14",57,4209
"29","15",54,4216
"30","16",59,4252
"31","2",1251,1242
"32","3",469,1860
"33","4",866,3314
"34","5",384,3176
"35","6",228,3310
"36","7",201,3510
"37","8",189,3606
"38","9",128,3724
"39","10",99,3810
"40","11",77,3958
"41","12",68,4073
"42","13",84,4174
"43","14",67,4184
"44","15",66,4215
"45","16",66,4272
"46","2",1033,1076
"47","3",692,2147
"48","4",651,2885
"49","5",414,3189
"50","6",227,3519
"51","7",353,3820
"52","8",168,3795
"53","9",173,3947
"54","10",158,3952
"55","11",138,4135
"56","12",130,4126
"57","13",110,4160
"58","14",71,4163
"59","15",68,4193
"60","16",59,4232
"61","2",1299,1359
"62","3",556,1936
"63","4",791,3067
"64","5",230,3310
"65","6",129,3352
"66","7",149,3445
"67","8",92,3599
"68","9",100,3552
"69","10",91,3796
"70","11",95,3909
"71","12",115,4053
"72","13",86,4142
"73","14",86,4230
"74","15",68,4226
"75","16",69,4254
"76","2",829,730
"77","3",619,2101
"78","4",579,2939
"79","5",239,2925
"80","6",336,3417
"81","7",165,3457
"82","8",225,3795
"83","9",117,3689
"84","10",110,3738
"85","11",105,3988
"86","12",100,4108
"87","13",69,4130
"88","14",62,4160
"89","15",57,4215
"90","16",54,4260
"91","2",905,917
"92","3",504,2042
"93","4",573,2962
"94","5",222,3017
"95","6",155,3184
"96","7",215,3462
"97","8",158,3622
"98","9",177,3879
"99","10",123,4047
"100","11",110,4011
"101","12",112,4068
"102","13",91,4104
"103","14",95,4179
"104","15",83,4258
"105","16",71,4255
"106","2",813,794
"107","3",388,1882
"108","4",566,3053
"109","5",340,3345
"110","6",212,3398
"111","7",176,3596
"112","8",207,3806
"113","9",170,3905
"114","10",131,3962
"115","11",131,4118
"116","12",76,4122
"117","13",87,4101
"118","14",65,4215
"119","15",61,4208
"120","16",64,4292
"121","2",742,708
"122","3",506,2118
"123","4",1162,3616
"124","5",248,3300
"125","6",164,3328
"126","7",153,3458
"127","8",141,3579
"128","9",134,3723
"129","10",109,3865
"130","11",80,3865
"131","12",85,4141
"132","13",55,4167
"133","14",52,4181
"134","15",48,4216
"135","16",48,4222
"136","2",869,869
"137","3",444,1874
"138","4",695,3109
"139","5",222,3193
"140","6",170,3285
"141","7",121,3386
"142","8",126,3618
"143","9",123,3745
"144","10",119,3827
"145","11",110,3890
"146","12",105,4009
"147","13",86,4045
"148","14",80,4085
"149","15",75,4186
"150","16",71,4273
"151","2",953,913
"152","3",261,1915
"153","4",661,3095
"154","5",177,2905
"155","6",192,3344
"156","7",141,3523
"157","8",149,3803
"158","9",119,3780
"159","10",110,3995
"160","11",92,3997
"161","12",79,4061
"162","13",57,4119
"163","14",61,4128
"164","15",56,4202
"165","16",52,4244
"166","2",467,371
"167","3",412,1978
"168","4",253,2545
"169","5",145,2638
"170","6",228,3072
"171","7",245,3508
"172","8",143,3642
"173","9",109,3800
"174","10",117,3949
"175","11",101,4067
"176","12",115,4080
"177","13",102,4197
"178","14",106,4247
"179","15",81,4239
"180","16",67,4241
"181","2",453,297
"182","3",441,2064
"183","4",262,2513
"184","5",138,2625
"185","6",172,3069
"186","7",148,3282
"187","8",193,3713
"188","9",187,3775
"189","10",158,4005
"190","11",124,4137
"191","12",92,4191
"192","13",84,4246
"193","14",66,4240
"194","15",82,4322
"195","16",78,4358
"196","2",1024,970
"197","3",1013,2607
"198","4",738,3166
"199","5",252,3166
"200","6",265,3279
"201","7",217,3517
"202","8",192,3648
"203","9",155,3809
"204","10",126,3899
"205","11",116,4011
