"","Cluster_Num","One","Neg_One"
"1","2",1113,970
"2","3",308,1522
"3","4",225,1784
"4","5",163,2428
"5","6",124,2806
"6","7",118,3098
"7","8",99,3289
"8","9",77,3457
"9","10",82,3574
"10","11",84,3686
"11","12",84,3759
"12","13",68,3890
"13","14",79,4000
"14","15",68,4119
"15","16",56,4166
"16","2",1459,1320
"17","3",369,1342
"18","4",234,2196
"19","5",172,2552
"20","6",101,2883
"21","7",63,2972
"22","8",85,3234
"23","9",79,3408
"24","10",90,3600
"25","11",102,3755
"26","12",76,3815
"27","13",75,3944
"28","14",80,4055
"29","15",67,4072
"30","16",58,4144
"31","2",1214,1192
"32","3",325,1241
"33","4",289,2154
"34","5",209,2507
"35","6",194,2951
"36","7",100,3100
"37","8",78,3194
"38","9",85,3432
"39","10",65,3560
"40","11",74,3685
"41","12",66,3797
"42","13",70,3900
"43","14",58,4037
"44","15",68,4130
"45","16",68,4184
"46","2",1165,987
"47","3",361,1298
"48","4",200,1826
"49","5",179,2658
"50","6",158,2865
"51","7",132,3127
"52","8",116,3258
"53","9",82,3447
"54","10",88,3591
"55","11",75,3598
"56","12",91,3907
"57","13",79,3942
"58","14",73,4070
"59","15",62,4131
"60","16",57,4214
"61","2",1385,1328
"62","3",263,1168
"63","4",180,1844
"64","5",124,2333
"65","6",132,2967
"66","7",94,3099
"67","8",72,3278
"68","9",82,3397
"69","10",80,3591
"70","11",74,3713
"71","12",77,3809
"72","13",73,3948
"73","14",79,4053
"74","15",65,4090
"75","16",62,4203
"76","2",992,935
"77","3",453,1510
"78","4",165,1831
"79","5",198,2444
"80","6",120,2783
"81","7",90,2987
"82","8",129,3357
"83","9",78,3442
"84","10",88,3622
"85","11",81,3767
"86","12",81,3827
"87","13",106,3955
"88","14",83,4075
"89","15",84,4171
"90","16",68,4202
"91","2",1189,1128
"92","3",536,1499
"93","4",242,1995
"94","5",249,2511
"95","6",171,2868
"96","7",101,3012
"97","8",84,3216
"98","9",92,3372
"99","10",106,3503
"100","11",69,3579
"101","12",72,3838
"102","13",51,3842
"103","14",67,3958
"104","15",64,4058
"105","16",58,4093
"106","2",1194,1152
"107","3",399,1397
"108","4",300,2105
"109","5",151,2527
"110","6",153,2868
"111","7",80,3011
"112","8",95,3290
"113","9",106,3381
"114","10",97,3571
"115","11",100,3761
"116","12",74,3814
"117","13",86,3959
"118","14",70,4097
"119","15",86,4231
"120","16",83,4280
"121","2",1211,927
"122","3",537,1715
"123","4",223,1985
"124","5",103,2374
"125","6",137,2935
"126","7",109,3149
"127","8",92,3254
"128","9",112,3436
"129","10",75,3541
"130","11",117,3734
"131","12",81,3794
"132","13",79,3932
"133","14",77,4030
"134","15",61,4117
"135","16",50,4162
"136","2",957,873
"137","3",384,1366
"138","4",280,1970
