"","Cluster_Num","One","Neg_One"
"1","2",595,330
"2","3",415,1860
"3","4",499,2585
"4","5",394,2990
"5","6",197,3350
"6","7",150,3509
"7","8",69,3486
"8","9",76,3575
"9","10",67,3655
"10","11",76,3685
"11","12",66,3817
"12","13",95,3953
"13","14",84,3963
"14","15",94,4139
"15","16",88,4134
"16","2",725,454
"17","3",593,2236
"18","4",167,2184
"19","5",184,2746
"20","6",124,2892
"21","7",105,3012
"22","8",90,3344
"23","9",101,3399
"24","10",113,3657
"25","11",103,3736
"26","12",69,3836
"27","13",64,3956
"28","14",73,4049
"29","15",74,4237
"30","16",62,4242
"31","2",822,693
"32","3",543,1767
"33","4",508,2767
"34","5",188,2663
"35","6",128,2831
"36","7",133,3156
"37","8",119,3273
"38","9",98,3470
"39","10",120,3649
"40","11",110,3778
"41","12",91,3889
"42","13",68,3934
"43","14",72,4020
"44","15",72,4071
"45","16",55,4111
"46","2",911,847
"47","3",718,2286
"48","4",223,2289
"49","5",129,2457
"50","6",141,2869
"51","7",115,3152
"52","8",72,3257
"53","9",82,3427
"54","10",73,3632
"55","11",55,3686
"56","12",67,3815
"57","13",75,3898
"58","14",61,4034
"59","15",61,4118
"60","16",54,4141
"61","2",797,497
"62","3",715,2298
"63","4",316,2793
"64","5",234,2907
"65","6",159,2969
"66","7",103,3097
"67","8",95,3282
"68","9",54,3416
"69","10",63,3591
"70","11",63,3742
"71","12",57,3763
"72","13",55,3867
"73","14",59,3910
"74","15",54,4057
"75","16",70,4161
"76","2",815,665
"77","3",575,2063
"78","4",259,2058
"79","5",98,2453
"80","6",87,2767
"81","7",92,2924
"82","8",61,2974
"83","9",59,3135
"84","10",55,3411
"85","11",67,3585
"86","12",79,3740
"87","13",85,3811
"88","14",62,3879
"89","15",60,3981
"90","16",60,4095
"91","2",651,524
"92","3",486,1989
"93","4",339,2561
"94","5",142,2762
"95","6",151,3017
"96","7",85,3067
"97","8",84,3230
"98","9",87,3445
"99","10",81,3582
"100","11",76,3738
