"","k","CRAB","mean","cluster_2_mean/mean","adj_crab","S_test"
"1",2,0.326677595479898,0.172686227242832,1,0.326677595479898,1
"2",3,0.198553077340673,0.15321165756439,1.12710892883759,0.223790946318854,1
"3",4,0.103126786418144,0.146278929821656,1.18052700722771,0.121743956535223,1
"4",5,0.0963822700090307,0.140782118442424,1.22662046255154,0.118224464620244,1
"5",6,0.0720687853773425,0.110227385137324,1.56663634021342,0.112905578167186,1
"6",7,0.0621383745859371,0.103148497306972,1.67415165272756,0.104029062510851,1
"7",8,0.0528400929915249,0.09530377586628,1.81195577691619,0.0957439117487821,1
"8",9,0.0500545678971429,0.0885155829829385,1.95091329033123,0.097652121752323,1
"9",10,0.0386667045612961,0.0803651739544483,2.14876940776252,0.0830858318603045,1
"10",11,0.0406749182990175,0.073019928041298,2.36491916487736,0.0961928938151674,1
"11",12,0.0463629702655527,0.0661437126330385,2.61077312368123,0.121043196703337,1
"12",13,0.0380599270765394,0.0604403782971322,2.85713346124151,0.108742291182792,1
"13",14,0.0265197716307086,0.0554755238358288,3.11283635200759,0.0825517091790095,1
"14",15,0.0197714541208166,0.0512238886467524,3.37120495543987,0.0666536241083489,1
"15",16,0.015474357603049,0.0471329175222517,3.66381366401317,0.0566951628278771,1
"16",17,0.0114738629286234,0.0435892401290792,3.96167097043816,0.045455669683114,1
"17",18,0.0103995659669245,0.0406352783576284,4.2496627123612,0.0441946477143795,1
"18",19,0.009998135718337,0.0380581216874477,4.53743431325952,0.0453658840770079,1
"19",20,0.0107022568655775,0.0354679157748495,4.86880109728028,0.0521071599704991,1
"20",21,0.0122347356358049,0.0335756615745095,5.14319656396389,0.0629256502830785,1
"21",22,0.0139778411740084,0.0315204505991189,5.4785456413386,0.0765782408391872,1
"22",23,0.0156963207939071,0.0299192777695108,5.7717378264661,0.09059504846254,1
"23",24,0.017402705361115,0.028354425241632,6.09027429655959,0.105987249151398,1
"24",25,0.0191560249213451,0.0269033075832757,6.41877310841069,0.122958177629175,1
"25",26,0.0206798041022209,0.0255817526316897,6.75036733131861,0.139596274029701,1
"26",27,0.0226868111312852,0.02438998734494,7.08020979267368,0.160627382336264,1
"27",28,0.0242081552721932,0.0231506166847386,7.45924955669412,0.180574671482489,1
"28",29,0.0253651826077715,0.0222009572482874,7.77832348900869,0.197298595681023,1
"29",30,0.0265127566089514,0.021305193741725,8.10535822092223,0.214895389739674,1
"30",2,0.279958619582504,0.172686227242832,1,0.279958619582504,2
"31",3,0.17611400303969,0.15321165756439,1.12710892883759,0.198499665319366,2
"32",4,0.027657814668942,0.146278929821656,1.18052700722771,0.0326507971775846,2
"33",5,0.091380864542987,0.140782118442424,1.22662046255154,0.112089638334078,2
"34",6,0.09684610158149,0.110227385137324,1.56663634021342,0.151722622145562,2
"35",7,0.0971453002567709,0.103148497306972,1.67415165272756,0.162635964979588,2
"36",8,0.0852515402402933,0.09530377586628,1.81195577691619,0.154472020829402,2
"37",9,0.0728667412157227,0.0885155829829385,1.95091329033123,0.14215669386088,2
"38",10,0.0608861137866897,0.0803651739544483,2.14876940776252,0.130830218662386,2
"39",11,0.0487733123745608,0.073019928041298,2.36491916487736,0.115344941169149,2
"40",12,0.0396373802738989,0.0661437126330385,2.61077312368123,0.103484207112228,2
"41",13,0.0314132849099871,0.0604403782971322,2.85713346124151,0.0897519474438373,2
"42",14,0.0208480480915238,0.0554755238358288,3.11283635200759,0.0648965619676977,2
"43",15,0.0149191017875451,0.0512238886467524,3.37120495543987,0.0502953498768838,2
"44",16,0.0121707932913186,0.0471329175222517,3.66381366401317,0.0445915187626127,2
"45",17,0.0119144218135426,0.0435892401290792,3.96167097043816,0.0472010190282668,2
"46",18,0.00996661228228393,0.0406352783576284,4.2496627123612,0.0423547405845832,2
"47",19,0.0108566360843608,0.0380581216874477,4.53743431325952,0.0492612730957504,2
"48",20,0.0134021530919342,0.0354679157748495,4.86880109728028,0.0652524176799275,2
"49",21,0.0147896186409519,0.0335756615745095,5.14319656396389,0.0760659157764804,2
"50",22,0.0164851432556154,0.0315204505991189,5.4785456413386,0.0903146097298944,2
"51",23,0.018163927329888,0.0299192777695108,5.7717378264661,0.104837426447096,2
"52",24,0.0193427585720642,0.028354425241632,6.09027429655959,0.117802705356,2
"53",25,0.0203309937091359,0.0269033075832757,6.41877310841069,0.130500035687469,2
"54",26,0.0210529264413997,0.0255817526316897,6.75036733131861,0.142114986878679,2
"55",27,0.021744384421182,0.02438998734494,7.08020979267368,0.153954803514514,2
"56",28,0.0221800183760246,0.0231506166847386,7.45924955669412,0.165446292238829,2
"57",29,0.0226977537241525,0.0222009572482874,7.77832348900869,0.17655047094031,2
"58",30,0.0226613878890514,0.021305193741725,8.10535822092223,0.18367866662403,2
"59",2,0.00964862703199694,0.172686227242832,1,0.00964862703199694,3
"60",3,0.112421807118026,0.15321165756439,1.12710892883759,0.126711622598785,3
"61",4,0.00638466133289714,0.146278929821656,1.18052700722771,0.00753726513548752,3
"62",5,0.0899076080982327,0.140782118442424,1.22662046255154,0.110282511832356,3
"63",6,0.104008026220348,0.110227385137324,1.56663634021342,0.162942753550667,3
"64",7,0.0825913239018614,0.103148497306972,1.67415165272756,0.138270401411259,3
"65",8,0.0669753221617505,0.09530377586628,1.81195577691619,0.121356321901807,3
"66",9,0.0463710574129623,0.0885155829829385,1.95091329033123,0.0904659121936607,3
"67",10,0.035696541748054,0.0803651739544483,2.14876940776252,0.0767036368711359,3
"68",11,0.040008169451301,0.073019928041298,2.36491916487736,0.0946160866870428,3
"69",12,0.0454788791803564,0.0661437126330385,2.61077312368123,0.11873503545922,3
"70",13,0.0411377560699101,0.0604403782971322,2.85713346124151,0.117536059387731,3
"71",14,0.0318015627644695,0.0554755238358288,3.11283635200759,0.0989930606238916,3
"72",15,0.023151042398051,0.0512238886467524,3.37120495543987,0.0780469088559082,3
"73",16,0.019764089174144,0.0471329175222517,3.66381366401317,0.0724119399730036,3
"74",17,0.0181690812038865,0.0435892401290792,3.96167097043816,0.0719799215649709,3
"75",18,0.0176269130059253,0.0406352783576284,4.2496627123612,0.0749084349353155,3
"76",19,0.0194404129864549,0.0380581216874477,4.53743431325952,0.0882095969486766,3
"77",20,0.0195718449419811,0.0354679157748495,4.86880109728028,0.095291420129317,3
"78",21,0.0201447633421095,0.0335756615745095,5.14319656396389,0.103608477603004,3
