"","Cluster_Num","One","Neg_One"
"1","2",558,428
"2","3",1411,3033
"3","4",558,2956
"4","5",246,3068
"5","6",170,3270
"6","7",126,3490
"7","8",126,3651
"8","9",84,3712
"9","10",84,3765
"10","11",79,3884
"11","12",77,4023
"12","13",69,4050
"13","14",58,4053
"14","15",60,4078
"15","16",43,4175
"16","2",1179,1170
"17","3",375,1752
"18","4",522,2887
"19","5",492,3327
"20","6",166,3436
"21","7",181,3612
"22","8",114,3695
"23","9",115,3745
"24","10",129,3998
"25","11",108,4001
"26","12",84,4007
"27","13",94,4086
"28","14",84,4186
"29","15",93,4234
"30","16",68,4269
"31","2",407,388
"32","3",465,2108
"33","4",330,2729
"34","5",161,2867
"35","6",141,3054
"36","7",136,3404
"37","8",126,3482
"38","9",124,3640
"39","10",149,3995
"40","11",116,4068
"41","12",87,4079
"42","13",87,4126
"43","14",58,4129
"44","15",73,4228
"45","16",47,4260
"46","2",946,942
"47","3",602,2060
"48","4",734,3240
"49","5",246,3312
"50","6",164,3309
"51","7",141,3515
"52","8",132,3666
"53","9",127,3777
"54","10",105,3852
"55","11",106,3894
"56","12",131,4024
"57","13",126,4117
"58","14",100,4173
"59","15",84,4243
"60","16",68,4225
"61","2",910,703
"62","3",854,2419
"63","4",885,3229
"64","5",347,3406
"65","6",262,3393
"66","7",158,3496
"67","8",139,3592
"68","9",105,3660
"69","10",103,3837
"70","11",95,3949
"71","12",94,4007
"72","13",87,4012
"73","14",86,4171
"74","15",71,4220
"75","16",69,4261
"76","2",1192,1206
"77","3",431,1678
"78","4",540,2780
"79","5",490,3369
"80","6",307,3631
"81","7",202,3593
"82","8",143,3676
"83","9",117,3787
"84","10",109,3881
"85","11",99,4011
"86","12",92,4074
"87","13",104,4141
"88","14",90,4145
"89","15",89,4226
"90","16",78,4323
"91","2",457,253
"92","3",410,2022
"93","4",506,2863
"94","5",263,3120
"95","6",270,3342
"96","7",181,3482
"97","8",201,3809
"98","9",142,3904
"99","10",127,4009
"100","11",112,4044
"101","12",86,4086
"102","13",81,4162
"103","14",72,4163
"104","15",83,4286
"105","16",68,4353
"106","2",609,576
"107","3",695,2397
"108","4",830,3327
"109","5",165,2995
"110","6",207,3163
"111","7",168,3365
"112","8",160,3703
"113","9",166,3861
"114","10",104,3855
"115","11",102,4070
"116","12",94,4163
"117","13",94,4193
"118","14",76,4217
"119","15",63,4277
"120","16",68,4296
"121","2",1565,1567
"122","3",631,2178
"123","4",854,3257
"124","5",251,3216
"125","6",152,3228
"126","7",167,3423
"127","8",155,3760
"128","9",122,3736
"129","10",102,3775
"130","11",88,3988
"131","12",81,4070
"132","13",75,4149
"133","14",69,4229
"134","15",62,4207
"135","16",57,4198
"136","2",894,698
"137","3",432,2027
"138","4",384,2768
"139","5",182,2950
"140","6",198,3197
"141","7",205,3523
"142","8",117,3539
"143","9",113,3659
"144","10",132,3789
"145","11",101,3888
"146","12",94,3984
"147","13",86,4083
"148","14",84,4142
"149","15",93,4244
"150","16",91,4308
"151","2",610,500
"152","3",540,1747
"153","4",612,3085
"154","5",335,3041
"155","6",177,3197
"156","7",137,3361
"157","8",121,3446
"158","9",140,3730
"159","10",118,3849
"160","11",108,4026
"161","12",121,4219
"162","13",104,4250
"163","14",92,4337
"164","15",77,4362
"165","16",64,4383
"166","2",1230,1237
"167","3",607,2089
"168","4",946,3413
"169","5",237,3198
"170","6",158,3168
"171","7",115,3344
"172","8",106,3524
"173","9",107,3728
"174","10",90,3808
"175","11",70,3908
"176","12",63,3954
"177","13",68,4053
"178","14",60,4090
"179","15",53,4115
"180","16",62,4171
"181","2",664,662
"182","3",381,1998
"183","4",685,3194
"184","5",252,3080
"185","6",326,3320
"186","7",222,3444
"187","8",198,3735
"188","9",172,3819
"189","10",130,3973
"190","11",142,4078
"191","12",118,4119
"192","13",104,4134
"193","14",92,4192
"194","15",77,4201
"195","16",69,4206
"196","2",1213,1232
"197","3",341,1801
"198","4",938,3340
"199","5",235,3221
"200","6",180,3294
"201","7",187,3355
"202","8",131,3654
"203","9",122,3781
"204","10",105,3899
"205","11",87,3969
