"","Cluster_Num","One","Neg_One"
"1","2",930,888
"2","3",670,2161
"3","4",1007,3420
"4","5",227,3158
"5","6",194,3239
"6","7",151,3377
"7","8",155,3584
"8","9",102,3765
"9","10",91,3813
"10","11",115,4004
"11","12",88,4020
"12","13",87,4141
"13","14",69,4122
"14","15",80,4189
"15","16",75,4230
"16","2",942,980
"17","3",833,2417
"18","4",605,2890
"19","5",217,3078
"20","6",205,3193
"21","7",147,3323
"22","8",124,3603
"23","9",100,3674
"24","10",109,3826
"25","11",98,4018
"26","12",70,4040
"27","13",62,4097
"28","14",65,4107
"29","15",66,4159
"30","16",76,4236
"31","2",1178,1212
"32","3",708,2205
"33","4",461,2536
"34","5",230,3028
"35","6",154,3186
"36","7",122,3276
"37","8",139,3662
"38","9",97,3687
"39","10",110,3992
"40","11",87,3996
"41","12",90,4025
"42","13",74,4058
"43","14",92,4151
"44","15",66,4207
"45","16",65,4261
"46","2",850,796
"47","3",809,2297
"48","4",814,3108
"49","5",270,3202
"50","6",205,3186
"51","7",154,3303
"52","8",129,3589
"53","9",95,3726
"54","10",87,3813
"55","11",98,4018
"56","12",116,4092
"57","13",95,4142
"58","14",71,4101
"59","15",48,4165
"60","16",59,4206
"61","2",1181,1198
"62","3",811,2286
"63","4",744,3099
"64","5",247,3067
"65","6",168,3119
"66","7",185,3354
"67","8",141,3521
"68","9",131,3763
"69","10",84,3762
"70","11",83,3877
"71","12",64,3908
"72","13",76,4048
"73","14",61,4064
"74","15",74,4126
"75","16",71,4240
"76","2",736,486
"77","3",739,2208
"78","4",648,2927
"79","5",297,3159
"80","6",205,3191
"81","7",164,3432
"82","8",117,3525
"83","9",89,3635
"84","10",68,3797
"85","11",76,3972
"86","12",76,4040
"87","13",96,4128
"88","14",73,4154
"89","15",92,4224
"90","16",82,4243
"91","2",1004,1032
"92","3",733,2173
"93","4",646,2984
"94","5",226,3018
"95","6",174,3197
"96","7",170,3349
"97","8",145,3642
"98","9",90,3702
"99","10",80,3754
"100","11",88,3990
"101","12",96,4093
"102","13",97,4144
"103","14",88,4144
"104","15",89,4231
"105","16",64,4199
"106","2",1072,996
"107","3",782,2275
"108","4",736,3003
"109","5",299,2986
"110","6",169,3211
"111","7",191,3287
"112","8",201,3590
"113","9",126,3884
"114","10",84,3833
"115","11",68,3987
"116","12",85,4075
"117","13",83,4098
"118","14",81,4083
"119","15",66,4137
"120","16",57,4228
"121","2",1067,911
"122","3",879,2304
"123","4",546,2944
"124","5",244,3021
"125","6",194,3242
"126","7",158,3520
"127","8",167,3775
"128","9",109,3768
"129","10",79,3902
"130","11",75,3994
"131","12",81,3993
"132","13",70,4077
"133","14",80,4159
"134","15",66,4214
"135","16",75,4262
"136","2",1195,1211
"137","3",839,2325
"138","4",493,2642
"139","5",234,3165
"140","6",158,3125
"141","7",128,3223
"142","8",111,3440
"143","9",73,3577
"144","10",75,3826
"145","11",82,3823
"146","12",97,4042
"147","13",77,4082
"148","14",66,4088
"149","15",70,4184
"150","16",60,4220
"151","2",1040,1019
"152","3",703,2221
"153","4",895,3315
"154","5",257,3197
"155","6",156,3279
"156","7",115,3253
"157","8",112,3544
"158","9",95,3683
"159","10",84,3759
"160","11",77,3825
"161","12",75,3827
"162","13",76,4071
"163","14",70,4159
"164","15",72,4194
"165","16",62,4215
"166","2",851,827
"167","3",737,2227
"168","4",608,2906
"169","5",310,3151
"170","6",209,3232
"171","7",200,3488
"172","8",142,3667
"173","9",99,3721
"174","10",69,3857
"175","11",72,3961
"176","12",73,3984
"177","13",85,4062
"178","14",75,4086
"179","15",74,4172
"180","16",75,4250
"181","2",1117,1118
"182","3",733,2259
"183","4",580,2943
"184","5",199,3032
"185","6",250,3255
"186","7",157,3247
"187","8",139,3488
"188","9",115,3679
"189","10",89,3787
"190","11",101,3944
"191","12",72,4028
"192","13",91,4104
"193","14",91,4143
"194","15",75,4189
"195","16",70,4223
"196","2",1244,1261
"197","3",718,2200
"198","4",399,2553
"199","5",231,3119
"200","6",170,3140
"201","7",152,3348
"202","8",93,3412
"203","9",78,3669
"204","10",86,3814
"205","11",73,3934
"206","12",79,4021
"207","13",74,4103
"208","14",65,4135
"209","15",50,4147
"210","16",56,4185
"211","2",835,827
"212","3",747,2205
"213","4",668,2938
"214","5",225,3004
"215","6",194,3275
"216","7",155,3353
"217","8",128,3611
"218","9",99,3766
"219","10",105,3816
"220","11",95,4002
"221","12",95,4036
"222","13",73,4037
"223","14",67,4096
"224","15",62,4140
"225","16",65,4210
"226","2",981,1001
"227","3",707,2209
"228","4",414,2564
"229","5",221,3094
"230","6",194,3285
"231","7",144,3305
"232","8",124,3592
"233","9",122,3882
"234","10",98,3930
"235","11",77,3877
"236","12",69,3947
"237","13",59,3983
"238","14",66,4149
"239","15",71,4200
"240","16",67,4253
"241","2",1221,1231
"242","3",733,2226
"243","4",578,2864
"244","5",286,3185
"245","6",234,3239
"246","7",194,3384
"247","8",147,3587
"248","9",88,3585
"249","10",104,3789
"250","11",97,3963
"251","12",77,4053
"252","13",84,4157
"253","14",65,4233
"254","15",82,4271
"255","16",68,4272
"256","2",1082,1071
"257","3",642,2053
"258","4",662,2964
"259","5",245,3127
"260","6",164,3234
"261","7",119,3323
"262","8",119,3553
"263","9",112,3632
"264","10",81,3766
"265","11",72,3969
"266","12",78,4046
"267","13",67,4068
"268","14",65,4096
"269","15",72,4197
"270","16",61,4212
"271","2",882,665
"272","3",801,2249
"273","4",697,2947
"274","5",227,3087
"275","6",120,3088
"276","7",126,3291
"277","8",113,3526
"278","9",103,3764
"279","10",93,3805
"280","11",84,3942
"281","12",85,4069
"282","13",85,4153
"283","14",72,4145
"284","15",74,4204
"285","16",58,4198
"286","2",915,861
"287","3",619,2000
"288","4",498,2830
"289","5",243,3114
"290","6",159,3170
"291","7",149,3296
"292","8",142,3416
"293","9",128,3735
"294","10",107,3878
"295","11",88,4019
"296","12",82,3950
"297","13",82,3963
"298","14",73,4098
"299","15",66,4144
"300","16",66,4197
"301","2",1211,1230
"302","3",783,2256
"303","4",432,2526
"304","5",289,3196
"305","6",205,3252
"306","7",166,3409
"307","8",118,3664
"308","9",88,3720
"309","10",82,3771
"310","11",83,3888
"311","12",67,4025
"312","13",70,4074
"313","14",76,4154
"314","15",72,4198
"315","16",72,4228
"316","2",1151,1155
"317","3",813,2275
"318","4",641,2946
"319","5",237,3113
"320","6",270,3281
"321","7",130,3427
"322","8",106,3517
"323","9",90,3666
"324","10",104,3829
"325","11",98,3959
"326","12",95,4144
"327","13",88,4160
"328","14",84,4185
"329","15",69,4198
"330","16",65,4261
"331","2",1049,1050
"332","3",721,2265
"333","4",978,3368
"334","5",235,3032
"335","6",179,3216
"336","7",176,3359
"337","8",112,3589
"338","9",102,3842
"339","10",99,3783
"340","11",88,3972
"341","12",81,4014
"342","13",80,4053
"343","14",92,4162
"344","15",81,4204
"345","16",63,4201
"346","2",1063,1096
"347","3",838,2284
"348","4",560,2929
"349","5",339,3136
"350","6",164,3209
"351","7",222,3495
"352","8",107,3552
"353","9",93,3635
"354","10",78,3706
"355","11",88,3869
"356","12",87,4066
"357","13",81,4076
"358","14",72,4121
"359","15",69,4182
"360","16",73,4240
"361","2",1205,1221
"362","3",855,2305
"363","4",650,2901
"364","5",275,3141
"365","6",191,3132
"366","7",149,3271
"367","8",119,3620
"368","9",111,3726
"369","10",98,3832
"370","11",90,3966
"371","12",86,4001
"372","13",78,4032
"373","14",80,4098
"374","15",71,4123
"375","16",61,4174
"376","2",1100,1069
"377","3",855,2287
"378","4",502,2600
"379","5",216,3027
"380","6",184,3170
"381","7",120,3403
"382","8",121,3576
"383","9",97,3685
"384","10",97,3937
"385","11",88,3975
"386","12",92,4051
"387","13",65,4085
"388","14",69,4119
"389","15",63,4187
"390","16",69,4256
"391","2",880,627
"392","3",779,2335
"393","4",665,2981
"394","5",322,3065
"395","6",205,3163
"396","7",165,3394
"397","8",141,3631
"398","9",75,3603
"399","10",77,3728
"400","11",81,3859
"401","12",78,3924
"402","13",85,3979
"403","14",74,4130
"404","15",56,4084
"405","16",61,4181
"406","2",1016,821
"407","3",827,2313
"408","4",750,3121
"409","5",250,3162
"410","6",162,3193
"411","7",166,3468
"412","8",126,3644
"413","9",92,3716
"414","10",94,3773
"415","11",105,3889
"416","12",78,3907
"417","13",79,4058
"418","14",73,4167
"419","15",74,4208
"420","16",73,4225
"421","2",992,1015
"422","3",712,2143
"423","4",727,3097
"424","5",318,3190
"425","6",193,3145
"426","7",137,3369
"427","8",111,3503
"428","9",79,3605
"429","10",108,3850
"430","11",85,3917
"431","12",92,4109
"432","13",94,4132
"433","14",96,4173
"434","15",70,4202
"435","16",73,4272
"436","2",1064,1021
"437","3",774,2183
"438","4",614,2985
"439","5",293,3204
"440","6",270,3363
"441","7",142,3355
"442","8",124,3529
"443","9",97,3681
"444","10",77,3893
"445","11",90,3956
"446","12",80,4018
"447","13",73,4030
"448","14",72,4085
"449","15",71,4139
"450","16",67,4235
